10001
(00000) Freq	Fast Fourier Transform
(00484) +48.30    |  -6.48330 j -0.99129
(00485) +48.40    |  +4.73053 j +0.72481
(00486) +48.50    |  -1.18408 j -0.18181
(00487) +48.60    |  -2.79836 j -0.43057
(00488) +48.70    |  +5.69878 j +0.87867
(00489) +48.80    |  -6.41743 j -0.99154
(00490) +48.90    |  +4.68979 j +0.72611
(00491) +49.00    |  -1.18375 j -0.18366
(00492) +49.10    |  -2.75847 j -0.42886
(00493) +49.20    |  +5.63416 j +0.87776
(00494) +49.30    |  -6.35287 j -0.99178
(00495) +49.40    |  +4.64983 j +0.72741
(00496) +49.50    |  -1.18342 j -0.18551
(00497) +49.60    |  -2.71937 j -0.42716
(00498) +49.70    |  +5.57081 j +0.87686
(00499) +49.80    |  -6.28956 j -0.99202
(00500) +49.90    |  +4.61066 j +0.72870
(00501) +49.99    |  -1.18308 j -0.18736
(00502) +50.09    |  -2.68104 j -0.42546
(00503) +50.19    |  +5.50870 j +0.87595
(00504) +50.29    |  -6.22749 j -0.99225
(00505) +50.39    |  +4.57223 j +0.72999
(00506) +50.49    |  -1.18274 j -0.18921
(00507) +50.59    |  -2.64346 j -0.42375
(00508) +50.69    |  +5.44779 j +0.87504
(00509) +50.79    |  -6.16660 j -0.99249
(00510) +50.89    |  +4.53453 j +0.73127
(00511) +50.99    |  -1.18240 j -0.19106
(00512) +51.09    |  -2.60660 j -0.42204
(00513) +51.19    |  +5.38804 j +0.87413
(00514) +51.29    |  -6.10687 j -0.99271
(00515) +51.39    |  +4.49754 j +0.73256
(00516) +51.49    |  -1.18206 j -0.19291
(00517) +51.59    |  -2.57045 j -0.42033
(00518) +51.69    |  +5.32942 j +0.87321
(00519) +51.79    |  -6.04825 j -0.99294
(00520) +51.89    |  +4.46124 j +0.73384
(00521) +51.99    |  -1.18171 j -0.19476
(00522) +52.09    |  -2.53498 j -0.41862
(00523) +52.19    |  +5.27190 j +0.87229
(00524) +52.29    |  -5.99073 j -0.99316
(00525) +52.39    |  +4.42560 j +0.73512
(00526) +52.49    |  -1.18135 j -0.19661
(00527) +52.59    |  -2.50018 j -0.41691
(00528) +52.69    |  +5.21545 j +0.87137
(00529) +52.79    |  -5.93427 j -0.99338
(00530) +52.89    |  +4.39062 j +0.73640
(00531) +52.99    |  -1.18100 j -0.19846
(00532) +53.09    |  -2.46602 j -0.41519
(00533) +53.19    |  +5.16003 j +0.87044
(00534) +53.29    |  -5.87883 j -0.99359
(00535) +53.39    |  +4.35626 j +0.73767
(00536) +53.49    |  -1.18064 j -0.20031
(00537) +53.59    |  -2.43249 j -0.41348
(00538) +53.69    |  +5.10561 j +0.86951
(00539) +53.79    |  -5.82439 j -0.99381
(00540) +53.89    |  +4.32251 j +0.73894
(00541) +53.99    |  -1.18028 j -0.20215
(00542) +54.09    |  -2.39957 j -0.41176
(00543) +54.19    |  +5.05218 j +0.86858
(00544) +54.29    |  -5.77092 j -0.99401
